Symbol,Series,Date,PrevClose,Open,High,Low,Last,Close,Average,Volume,Turnover,NoOfTrades,Deliverable,DeliveryPercent
LT,EQ,2025-05-09,3323.90,3331.0,3477.0,3331.0,3451.40,3443.9,3438.60,5637694,19385778797.2,311155,2386081.0,42.32
LT,EQ,2025-05-12,3443.90,3513.0,3602.8,3490.0,3588.00,3587.2,3566.54,3147384,11225276507.4,186489,1919267.0,60.98
LT,EQ,2025-05-13,3587.20,3587.2,3606.0,3545.0,3570.50,3567.0,3571.75,2374439,8480910370.4,168486,1147243.0,48.32
LT,EQ,2025-05-14,3567.00,3587.0,3617.0,3567.0,3576.00,3573.1,3585.42,2440116,8748830534.8,110493,1629530.0,66.78
LT,EQ,2025-05-15,3573.10,3594.0,3648.7,3543.0,3620.00,3618.2,3603.28,3720879,13407382227.4,173281,2019951.0,54.29
LT,EQ,2025-05-16,3618.20,3642.0,3642.0,3600.0,3608.00,3604.7,3609.40,1278520,4614691788.6,79444,781481.0,61.12
LT,EQ,2025-05-19,3604.70,3604.7,3619.9,3587.0,3596.60,3600.2,3601.06,1519244,5470889248.3,94112,1060955.0,69.83
LT,EQ,2025-05-20,3600.20,3630.0,3634.0,3556.0,3575.00,3567.8,3585.64,1532347,5494446090.6,106300,897460.0,58.57
LT,EQ,2025-05-21,3567.80,3565.7,3610.5,3555.0,3587.00,3589.0,3581.09,1563885,5600416305.9,93765,1111692.0,71.09
LT,EQ,2025-05-22,3589.00,3585.0,3592.0,3536.9,3553.40,3551.4,3555.56,1597159,5678796121.9,95436,881106.0,55.17
LT,EQ,2025-05-23,3551.40,3570.0,3631.6,3551.2,3600.00,3599.9,3600.20,1119217,4029409610.2,76094,651561.0,58.22
LT,EQ,2025-05-26,3599.90,3615.8,3672.5,3608.4,3646.00,3648.7,3647.48,1678934,6123879986.1,107922,883972.0,52.65
LT,EQ,2025-05-27,3648.70,3648.7,3665.0,3603.0,3645.00,3640.0,3627.62,2013954,7305863175.1,148792,871579.0,43.28
LT,EQ,2025-05-28,3640.00,3660.0,3663.0,3620.0,3643.00,3646.3,3642.32,1293244,4710411400.6,75956,864463.0,66.84
LT,EQ,2025-05-29,3646.30,3663.9,3668.9,3618.0,3661.90,3655.3,3644.27,1972248,7187402190.4,88440,1294081.0,65.61
LT,EQ,2025-05-30,3655.30,3655.3,3695.3,3654.5,3672.00,3675.1,3673.72,2571304,9446249581.7,126244,1803804.0,70.15
LT,EQ,2025-06-02,3675.10,3675.1,3697.3,3605.6,3669.00,3679.6,3659.90,1954517,7153337054.8,107310,1285591.0,65.78
LT,EQ,2025-06-03,3679.60,3655.0,3669.2,3615.3,3642.30,3644.8,3638.44,2472483,8995968771.6,142790,1259704.0,50.95
LT,EQ,2025-06-04,3644.80,3645.0,3661.7,3615.3,3621.00,3626.5,3633.50,1086783,3948821084.9,67057,693204.0,63.78
LT,EQ,2025-06-05,3626.50,3629.9,3677.4,3612.0,3641.20,3642.6,3647.41,1466416,5348618989.7,116020,793588.0,54.12
LT,EQ,2025-06-06,3642.60,3645.0,3667.0,3623.0,3653.00,3656.3,3653.89,1172711,4284959310.5,83150,619399.0,52.82
LT,EQ,2025-06-09,3656.30,3664.0,3708.9,3662.2,3679.00,3678.9,3684.31,898170,3309135600.3,67640,473515.0,52.72
LT,EQ,2025-06-10,3678.90,3704.0,3704.0,3667.2,3675.00,3679.8,3681.54,1454535,5354923368.6,83562,966119.0,66.42
